,ID,Gender,Has a car,Has a property,Children count,Income,Employment status,Education level,Marital status,Dwelling,Age,Employment length,Has a mobile phone,Has a work phone,Has a phone,Has an email,Job title,Family member count,Account age,status
15754,5045689,F,N,Y,0,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,38.0,10.0,1,1,1,0,Laborers,1.0,13.0,0
15755,5045690,F,N,Y,0,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,38.0,10.0,1,1,1,0,Laborers,1.0,8.0,0
15756,5045692,F,N,Y,0,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,38.0,10.0,1,1,1,0,Laborers,1.0,21.0,0
15757,5045693,F,N,Y,0,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,38.0,10.0,1,1,1,0,Laborers,1.0,52.0,1
15758,5045694,F,N,Y,0,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,38.0,10.0,1,1,1,0,Laborers,1.0,40.0,1
15759,5045695,F,N,Y,0,247500.0,Commercial associate,Higher education,Single / not married,House / apartment,38.0,10.0,1,1,1,0,Laborers,1.0,33.0,1
15760,5045696,F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,1,0,0,0,Laborers,3.0,14.0,0
15761,5045697,F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,1,0,0,0,Laborers,3.0,27.0,0
15762,5045698,F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,1,0,0,0,Laborers,3.0,4.0,0
15763,5045699,F,N,Y,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,30.0,3.0,1,0,0,0,Laborers,3.0,10.0,0
15764,5045700,F,N,Y,0,126000.0,Commercial associate,Higher education,Separated,House / apartment,44.0,8.0,1,0,0,0,Managers,1.0,48.0,1
15765,5045701,F,N,Y,0,126000.0,Commercial associate,Higher education,Separated,House / apartment,44.0,8.0,1,0,0,0,Managers,1.0,12.0,0
15766,5045704,F,N,Y,0,126000.0,Commercial associate,Higher education,Separated,House / apartment,44.0,8.0,1,0,0,0,Managers,1.0,4.0,0
15767,5045706,F,N,Y,0,126000.0,Commercial associate,Higher education,Separated,House / apartment,44.0,8.0,1,0,0,0,Managers,1.0,39.0,1
15768,5045708,M,N,Y,0,180000.0,Commercial associate,Higher education,Separated,House / apartment,28.0,0.0,1,0,0,0,Core staff,1.0,49.0,1
15769,5045709,M,N,Y,0,180000.0,Commercial associate,Higher education,Separated,House / apartment,28.0,0.0,1,0,0,0,Core staff,1.0,50.0,1
15770,5045710,M,N,Y,0,180000.0,Commercial associate,Higher education,Separated,House / apartment,28.0,0.0,1,0,0,0,Core staff,1.0,0.0,0
15771,5045711,M,N,Y,0,180000.0,Commercial associate,Higher education,Separated,House / apartment,28.0,0.0,1,0,0,0,Core staff,1.0,0.0,0
15772,5045712,F,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,7.0,1,0,0,0,Laborers,3.0,2.0,0
15773,5045713,F,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,7.0,1,0,0,0,Laborers,3.0,11.0,0
15774,5045714,F,Y,Y,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,45.0,7.0,1,0,0,0,Laborers,3.0,17.0,0
15775,5045717,M,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,35.0,6.0,1,0,0,0,High skill tech staff,3.0,8.0,0
15776,5045718,M,Y,Y,1,225000.0,Working,Higher education,Married,House / apartment,35.0,6.0,1,0,0,0,High skill tech staff,3.0,8.0,0
15777,5045721,M,N,N,1,216000.0,Commercial associate,Higher education,Separated,House / apartment,30.0,3.0,1,0,0,0,Laborers,2.0,46.0,1
15778,5045722,M,N,N,1,216000.0,Commercial associate,Higher education,Separated,House / apartment,30.0,3.0,1,0,0,0,Laborers,2.0,32.0,1
15779,5045723,M,N,N,1,216000.0,Commercial associate,Higher education,Separated,House / apartment,30.0,3.0,1,0,0,0,Laborers,2.0,32.0,1
15780,5045724,M,N,N,1,216000.0,Commercial associate,Higher education,Separated,House / apartment,30.0,3.0,1,0,0,0,Laborers,2.0,40.0,1
15781,5045725,M,N,N,1,216000.0,Commercial associate,Higher education,Separated,House / apartment,30.0,3.0,1,0,0,0,Laborers,2.0,7.0,0
15791,5045734,M,Y,N,0,292500.0,Working,Higher education,Single / not married,House / apartment,29.0,1.0,1,0,0,0,Drivers,1.0,44.0,1
15792,5045735,M,Y,N,0,292500.0,Working,Higher education,Single / not married,House / apartment,29.0,1.0,1,0,0,0,Drivers,1.0,6.0,0
15794,5045739,M,N,N,0,225000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,26.0,3.0,1,0,0,0,Drivers,1.0,13.0,0
15795,5045741,M,N,N,0,225000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,26.0,3.0,1,0,0,0,Drivers,1.0,26.0,0
15797,5045745,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.0,7.0,1,0,0,0,Laborers,2.0,36.0,1
15798,5045748,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.0,7.0,1,0,0,0,Laborers,2.0,44.0,1
15799,5045754,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.0,7.0,1,0,0,0,Laborers,2.0,44.0,1
15800,5045755,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,41.0,7.0,1,0,0,0,Laborers,2.0,15.0,0
15803,5045756,F,Y,N,2,405000.0,Commercial associate,Higher education,Separated,House / apartment,39.0,5.0,1,0,0,0,Core staff,3.0,13.0,0
15804,5045758,F,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,55.0,3.0,1,0,1,0,Medicine staff,2.0,18.0,0
15805,5045759,F,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,55.0,3.0,1,0,1,0,Medicine staff,2.0,32.0,1
15806,5045760,F,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,55.0,3.0,1,0,1,0,Medicine staff,2.0,50.0,1
15807,5045761,F,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,55.0,3.0,1,0,1,0,Medicine staff,2.0,51.0,1
15808,5045762,F,Y,N,0,270000.0,Working,Higher education,Married,House / apartment,55.0,3.0,1,0,1,0,Medicine staff,2.0,15.0,0
15809,5045763,F,N,N,0,450000.0,Commercial associate,Higher education,Married,House / apartment,38.0,5.0,1,0,1,0,Sales staff,2.0,9.0,0
15810,5045765,F,N,N,0,450000.0,Commercial associate,Higher education,Married,House / apartment,38.0,5.0,1,0,1,0,Sales staff,2.0,44.0,1
15811,5045766,F,N,N,0,450000.0,Commercial associate,Higher education,Married,House / apartment,38.0,5.0,1,0,1,0,Sales staff,2.0,13.0,0
15818,5045772,M,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,26.0,3.0,1,0,0,0,Managers,3.0,43.0,1
15819,5045773,M,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,26.0,3.0,1,0,0,0,Managers,3.0,37.0,1
15820,5045774,M,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,26.0,3.0,1,0,0,0,Managers,3.0,53.0,1
15821,5045775,M,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,26.0,3.0,1,0,0,0,Managers,3.0,6.0,0
15822,5045776,M,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,26.0,3.0,1,0,0,0,Managers,3.0,26.0,0
15823,5045777,M,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,26.0,3.0,1,0,0,0,Managers,3.0,18.0,0
15824,5045778,M,N,Y,1,180000.0,Working,Higher education,Married,House / apartment,26.0,3.0,1,0,0,0,Managers,3.0,13.0,0
15829,5045783,F,Y,N,0,292500.0,State servant,Higher education,Civil marriage,House / apartment,28.0,4.0,1,0,0,0,High skill tech staff,2.0,16.0,0
15830,5045784,F,Y,N,0,292500.0,State servant,Higher education,Civil marriage,House / apartment,28.0,4.0,1,0,0,0,High skill tech staff,2.0,11.0,0
15831,5045785,M,Y,N,0,225000.0,Commercial associate,Higher education,Civil marriage,House / apartment,37.0,0.0,1,0,0,1,Managers,2.0,42.0,1
15832,5045786,M,Y,N,0,225000.0,Commercial associate,Higher education,Civil marriage,House / apartment,37.0,0.0,1,0,0,1,Managers,2.0,23.0,0
15838,5045796,F,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,25.0,0.0,1,0,0,0,Accountants,2.0,9.0,0
15839,5045797,F,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,25.0,0.0,1,0,0,0,Accountants,2.0,14.0,0
15840,5045798,F,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,25.0,0.0,1,0,0,0,Accountants,2.0,8.0,0
15841,5045799,F,Y,N,0,202500.0,Working,Higher education,Married,House / apartment,25.0,0.0,1,0,0,0,Accountants,2.0,5.0,0
15842,5045800,M,Y,Y,1,427500.0,Working,Secondary / secondary special,Married,House / apartment,33.0,7.0,1,0,1,0,Drivers,3.0,2.0,0
15843,5045802,M,Y,Y,1,427500.0,Working,Secondary / secondary special,Married,House / apartment,33.0,7.0,1,0,1,0,Drivers,3.0,21.0,0
15861,5045829,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,37.0,2.0,1,0,0,0,Laborers,2.0,25.0,0
15862,5045830,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,37.0,2.0,1,0,0,0,Laborers,2.0,41.0,1
15863,5045831,F,N,Y,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,37.0,2.0,1,0,0,0,Laborers,2.0,11.0,0
15864,5045832,F,N,N,1,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,0,0,0,Core staff,2.0,54.0,1
15865,5045833,F,N,N,1,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,0,0,0,Core staff,2.0,4.0,0
15866,5045834,F,N,N,1,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,0,0,0,Core staff,2.0,32.0,1
15867,5045835,F,N,N,1,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,0,0,0,Core staff,2.0,57.0,1
15868,5045838,F,N,N,1,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,0,0,0,Core staff,2.0,60.0,2
15869,5045839,F,N,N,1,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45.0,3.0,1,0,0,0,Core staff,2.0,59.0,1
15872,5045845,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,16.0,0
15873,5045846,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,45.0,1
15874,5045847,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,50.0,1
15875,5045848,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,54.0,1
15876,5045849,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,36.0,1
15877,5045850,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,21.0,0
15878,5045851,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,52.0,1
15879,5045852,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,17.0,0
15880,5045853,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,31.0,1
15881,5045854,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,0.0,0
15882,5045855,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,0.0,0
15883,5045856,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,12.0,0
15884,5045857,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,20.0,0
15885,5045858,F,Y,Y,2,315000.0,Commercial associate,Higher education,Married,With parents,35.0,4.0,1,0,0,0,Managers,4.0,12.0,0
15893,5045866,F,Y,Y,1,315000.0,Commercial associate,Higher education,Married,House / apartment,46.0,8.0,1,0,0,0,Managers,3.0,18.0,0
15894,5045867,F,Y,Y,1,315000.0,Commercial associate,Higher education,Married,House / apartment,46.0,8.0,1,0,0,0,Managers,3.0,24.0,0
15895,5045868,F,Y,Y,1,315000.0,Commercial associate,Higher education,Married,House / apartment,46.0,8.0,1,0,0,0,Managers,3.0,18.0,0
15896,5045869,F,Y,Y,1,315000.0,Commercial associate,Higher education,Married,House / apartment,46.0,8.0,1,0,0,0,Managers,3.0,38.0,1
15897,5045876,M,Y,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,0.0,1,0,0,0,Drivers,3.0,26.0,0
15898,5045877,M,Y,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,0.0,1,0,0,0,Drivers,3.0,32.0,1
15899,5045878,M,Y,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,0.0,1,0,0,0,Drivers,3.0,12.0,0
15900,5045879,M,Y,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,27.0,0.0,1,0,0,0,Drivers,3.0,51.0,1
15913,5045903,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,23.0,2.0,1,0,0,0,High skill tech staff,1.0,19.0,0
15914,5045904,F,N,Y,2,292500.0,Working,Higher education,Married,House / apartment,33.0,4.0,1,0,0,0,Managers,4.0,16.0,0
15915,5045905,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,1,0,0,0,Drivers,2.0,28.0,0
15916,5045906,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,1,0,0,0,Drivers,2.0,41.0,1
15917,5045907,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,1,0,0,0,Drivers,2.0,51.0,1
15918,5045908,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,1,0,0,0,Drivers,2.0,56.0,1
15919,5045910,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,1,0,0,0,Drivers,2.0,3.0,0
15920,5045911,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,1,0,0,0,Drivers,2.0,51.0,1
15921,5045912,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,1,0,0,0,Drivers,2.0,56.0,1
15922,5045914,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,1,0,0,0,Drivers,2.0,20.0,0
15923,5045915,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,1,0,0,0,Drivers,2.0,19.0,0
15924,5045916,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,1,0,0,0,Drivers,2.0,19.0,0
15925,5045917,M,Y,Y,0,315000.0,Commercial associate,Secondary / secondary special,Married,Rented apartment,47.0,6.0,1,0,0,0,Drivers,2.0,15.0,0
15937,5045928,M,N,N,0,247500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,41.0,6.0,1,0,0,0,Laborers,1.0,16.0,0
15938,5045930,M,N,N,0,247500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,41.0,6.0,1,0,0,0,Laborers,1.0,11.0,0
15939,5045931,M,N,N,0,247500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,41.0,6.0,1,0,0,0,Laborers,1.0,16.0,0
15940,5045932,M,N,N,0,247500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,41.0,6.0,1,0,0,0,Laborers,1.0,30.0,1
15941,5045934,M,N,N,0,247500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,41.0,6.0,1,0,0,0,Laborers,1.0,8.0,0
15942,5045938,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,15.0,0
15943,5045940,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,5.0,0
15944,5045941,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,32.0,1
15945,5045943,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,15.0,0
15946,5045944,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,10.0,0
15947,5045945,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,22.0,0
15948,5045946,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,28.0,0
15949,5045947,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,31.0,1
15950,5045948,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,31.0,1
15951,5045949,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,46.0,1
15952,5045950,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,22.0,0
15953,5045951,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,5.0,0
15954,5045952,F,Y,N,1,387000.0,Working,Higher education,Married,House / apartment,36.0,7.0,1,0,0,0,Managers,3.0,16.0,0
15957,5045957,M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43.0,13.0,1,0,0,0,Laborers,3.0,59.0,1
15958,5045962,M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43.0,13.0,1,0,0,0,Laborers,3.0,59.0,1
15959,5045963,M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43.0,13.0,1,0,0,0,Laborers,3.0,11.0,0
15960,5045964,M,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,43.0,13.0,1,0,0,0,Laborers,3.0,3.0,0
15961,5045966,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,25.0,3.0,1,0,0,0,Laborers,3.0,1.0,0
15962,5045967,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,25.0,3.0,1,0,0,0,Laborers,3.0,2.0,0
15963,5045968,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,25.0,3.0,1,0,0,0,Laborers,3.0,3.0,0
15964,5045969,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,25.0,3.0,1,0,0,0,Laborers,3.0,4.0,0
15965,5045970,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,25.0,3.0,1,0,0,0,Laborers,3.0,5.0,0
15966,5045971,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,25.0,3.0,1,0,0,0,Laborers,3.0,25.0,0
15967,5045972,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,25.0,3.0,1,0,0,0,Laborers,3.0,0.0,0
15968,5045973,M,Y,N,1,90000.0,Working,Secondary / secondary special,Married,With parents,25.0,3.0,1,0,0,0,Laborers,3.0,12.0,0
15969,5045974,M,Y,Y,1,360000.0,Working,Higher education,Married,House / apartment,32.0,11.0,1,1,0,0,Managers,3.0,53.0,1
15970,5045975,M,Y,Y,1,360000.0,Working,Higher education,Married,House / apartment,32.0,11.0,1,1,0,0,Managers,3.0,5.0,0
15971,5045976,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,5.0,1,0,0,0,Sales staff,2.0,24.0,0
15972,5045977,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,5.0,1,0,0,0,Sales staff,2.0,38.0,1
15973,5045978,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,5.0,1,0,0,0,Sales staff,2.0,13.0,0
15974,5045979,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,5.0,1,0,0,0,Sales staff,2.0,15.0,0
15975,5045980,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,5.0,1,0,0,0,Sales staff,2.0,11.0,0
15976,5045981,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,5.0,1,0,0,0,Sales staff,2.0,14.0,0
15977,5045982,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,5.0,1,0,0,0,Sales staff,2.0,25.0,0
15978,5045983,F,N,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,58.0,5.0,1,0,0,0,Sales staff,2.0,19.0,0
15979,5045985,F,N,N,0,117000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,47.0,2.0,1,0,0,0,Laborers,1.0,10.0,0
15980,5045986,F,N,N,0,117000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,47.0,2.0,1,0,0,0,Laborers,1.0,50.0,1
15981,5045987,F,N,N,0,117000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,47.0,2.0,1,0,0,0,Laborers,1.0,37.0,1
15982,5045989,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.0,12.0,1,0,0,0,Laborers,2.0,17.0,0
15983,5045991,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.0,12.0,1,0,0,0,Laborers,2.0,7.0,0
15984,5045992,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.0,12.0,1,0,0,0,Laborers,2.0,4.0,0
15985,5045993,F,N,Y,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,42.0,12.0,1,0,0,0,Laborers,2.0,8.0,0
15986,5045994,M,Y,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,26.0,7.0,1,1,1,0,Sales staff,1.0,58.0,1
15987,5045995,M,Y,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,26.0,7.0,1,1,1,0,Sales staff,1.0,43.0,1
15988,5045996,M,Y,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,26.0,7.0,1,1,1,0,Sales staff,1.0,25.0,0
15989,5045997,M,Y,N,0,180000.0,Commercial associate,Higher education,Single / not married,House / apartment,26.0,7.0,1,1,1,0,Sales staff,1.0,33.0,1
15990,5045999,F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,41.0,9.0,1,0,1,0,Private service staff,2.0,42.0,1
15991,5046003,F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,41.0,9.0,1,0,1,0,Private service staff,2.0,16.0,0
15992,5046004,F,N,Y,1,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,41.0,9.0,1,0,1,0,Private service staff,2.0,7.0,0
15993,5046006,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.0,1,0,0,0,Cooking staff,2.0,40.0,1
15994,5046007,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.0,1,0,0,0,Cooking staff,2.0,59.0,1
15995,5046008,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.0,1,0,0,0,Cooking staff,2.0,5.0,0
15996,5046010,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.0,1,0,0,0,Cooking staff,2.0,54.0,1
15997,5046011,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.0,1,0,0,0,Cooking staff,2.0,40.0,1
15998,5046012,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.0,1,0,0,0,Cooking staff,2.0,51.0,1
15999,5046016,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.0,1,0,0,0,Cooking staff,2.0,18.0,0
16000,5046017,F,N,Y,0,103500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,30.0,1.0,1,0,0,0,Cooking staff,2.0,14.0,0
16001,5046018,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,33.0,10.0,1,0,0,0,Managers,3.0,38.0,1
16002,5046019,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,33.0,10.0,1,0,0,0,Managers,3.0,49.0,1
16003,5046021,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,33.0,10.0,1,0,0,0,Managers,3.0,46.0,1
16004,5046022,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,33.0,10.0,1,0,0,0,Managers,3.0,54.0,1
16005,5046023,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,33.0,10.0,1,0,0,0,Managers,3.0,39.0,1
16006,5046025,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,33.0,10.0,1,0,0,0,Managers,3.0,7.0,0
16007,5046026,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,33.0,10.0,1,0,0,0,Managers,3.0,16.0,0
16008,5046027,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,33.0,10.0,1,0,0,0,Managers,3.0,20.0,0
16009,5046028,M,Y,Y,1,247500.0,State servant,Secondary / secondary special,Married,House / apartment,33.0,10.0,1,0,0,0,Managers,3.0,30.0,1
16010,5046029,F,Y,Y,1,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,47.0,1.0,1,1,0,0,Sales staff,3.0,18.0,0
16011,5046030,F,Y,Y,1,90000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,47.0,1.0,1,1,0,0,Sales staff,3.0,0.0,0
16012,5046031,F,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,House / apartment,31.0,3.0,1,1,0,0,Sales staff,4.0,10.0,0
16018,5046037,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,1.0,1,0,0,0,Sales staff,2.0,19.0,0
16019,5046038,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,1.0,1,0,0,0,Sales staff,2.0,12.0,0
16020,5046039,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,50.0,1.0,1,0,0,0,Sales staff,2.0,12.0,0
16021,5046040,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,49.0,23.0,1,0,0,0,Managers,2.0,27.0,0
16022,5046041,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,49.0,23.0,1,0,0,0,Managers,2.0,31.0,1
16023,5046042,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,49.0,23.0,1,0,0,0,Managers,2.0,38.0,1
16024,5046043,F,N,Y,0,139500.0,State servant,Higher education,Married,House / apartment,49.0,23.0,1,0,0,0,Managers,2.0,20.0,0
